Distance_m,Altitude_m,Distance_km,Altitude_ft
0.00,231.14,0.000,758.33
10.59,229.21,0.011,752.00
20.77,231.64,0.021,759.97
31.43,232.85,0.031,763.94
42.63,231.76,0.043,760.37
53.76,231.05,0.054,758.04
64.38,229.95,0.064,754.43
75.16,229.07,0.075,751.54
85.76,228.80,0.086,750.66
96.30,230.07,0.096,754.82
106.46,228.20,0.106,748.69
118.19,230.28,0.118,755.51
132.11,231.07,0.132,758.10
142.83,231.90,0.143,760.83
153.17,228.49,0.153,749.64
164.77,229.96,0.165,754.46
175.17,232.59,0.175,763.09
188.19,233.08,0.188,764.70
198.34,232.10,0.198,761.48
